user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
beautifulsmoothies	791	14.4k	93	0	5				30	1,889,846;157,848;1,570,538;584,983;6,061,379;4,419,682;9,672,230;12,009,972;47,184,460;61,211,964;1,032,120;18,895,006;3,661,880;123,701,840;7,309,081;657,142;4,440,938;46,826,306;15,659,781;61,221,676;1,849,579;324,844;426,118;2,495,972;14,325,077;344,837;4,792,605;893,838;117,003,597;4,864,019;	1,780
beautifulsmoothies	791	14.4k	93	0	2				30	1,889,847;157,848;1,570,538;584,984;6,061,379;4,419,699;9,672,240;12,009,982;47,184,472;61,212,024;1,032,122;18,895,033;3,661,891;123,701,992;7,309,089;657,144;4,440,942;46,826,337;1,849,582;324,848;426,119;2,495,976;14,325,085;344,838;4,792,614;893,839;117,003,711;4,864,028;	1,269
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,848;157,849;1,570,545;584,985;6,061,378;4,419,716;9,672,247;12,009,989;47,184,479;61,212,058;1,032,123;18,895,052;3,661,898;123,702,119;7,309,092;657,144;4,440,943;46,826,375;15,659,801;61,221,750;1,849,584;324,851;426,121;2,495,979;14,325,084;344,840;4,792,621;893,841;117,003,801;4,864,033;	1,763
_h1roya	153	4,305	354	1	8				30	421,893;6,800,317;4,622,681;4,078,235;2,116,510;276,237;9,145,634;994,617;6,159,606;8,414,653;3,027,376;2,859,660;3,798,111;25,640,657;3,594,878;2,176,559;385,540;4,124,677;9,145,648;488,683;3,964,958;4,761,864;3,764,914;1,164,149;7,502,224;118,191;1,670,027;996,363;	954
_h1roya	153	4,305	354	1	1				30	421,893;6,800,325;4,622,684;4,078,237;2,116,513;276,238;9,145,665;994,616;6,159,609;8,414,656;3,027,380;2,859,662;3,798,111;25,640,662;3,594,880;2,176,564;385,543;4,124,677;9,145,667;488,685;3,964,961;4,761,871;3,764,919;1,164,154;7,502,225;118,194;1,670,028;996,366;	1,074
_h1roya	153	4,305	354	1	6				30	421,892;6,800,329;4,622,687;4,078,239;2,116,517;276,238;9,145,672;994,617;488,687;3,964,964;4,761,880;3,764,924;1,164,156;7,502,227;118,195;1,670,031;996,369;	1,192
_h1roya	153	4,305	354	1	5				30	421,891;6,800,333;4,622,688;4,078,239;2,116,521;276,238;385,545;4,124,679;9,145,680;488,687;3,964,966;4,761,888;3,764,932;1,164,157;7,502,229;118,194;1,670,034;996,369;	790
_h1roya	153	4,305	354	1	5				30	421,891;6,800,331;4,622,687;4,078,241;2,116,526;276,238;9,145,685;994,621;6,159,620;8,414,666;3,027,381;2,859,665;3,798,122;25,640,696;3,594,878;2,176,566;385,545;4,124,682;9,145,696;488,688;3,964,970;4,761,904;3,764,943;1,164,159;7,502,234;118,195;1,670,035;996,374;	946
_h1roya	153	4,305	354	1	6				30	421,890;6,800,332;4,622,689;4,078,245;2,116,529;276,238;9,145,702;994,622;6,159,618;8,414,670;3,594,863;2,176,562;385,545;4,124,684;9,145,708;488,688;3,964,970;4,761,915;3,764,949;1,164,165;7,502,237;118,197;1,670,036;996,374;	1,254
_h1roya	153	4,305	354	1	1				30	421,890;6,800,335;4,622,692;4,078,250;2,116,534;276,238;9,145,717;994,621;6,159,622;8,414,670;3,027,384;2,859,666;3,798,126;25,640,717;3,594,864;2,176,566;385,547;4,124,685;9,145,720;488,690;3,964,970;4,761,923;1,164,167;7,502,246;118,199;1,670,036;996,377;	1,266
_h1roya	153	4,305	354	1	0				30	421,889;6,800,336;4,622,692;4,078,250;2,116,536;276,237;9,145,725;994,622;6,159,627;	771
_h1roya	153	4,305	354	1	0				30	994,624;6,159,628;8,414,676;3,027,385;2,859,666;3,798,128;25,640,732;3,594,868;2,176,565;385,548;4,124,687;9,145,735;488,691;3,964,966;4,761,940;3,764,968;1,164,171;7,502,247;118,199;1,670,038;996,383;	729
_h1roya	153	4,305	354	1	1				30	421,890;6,800,347;4,622,698;4,078,254;2,116,542;276,238;9,145,742;994,627;6,159,632;8,414,677;3,027,386;2,859,667;3,798,128;25,640,736;3,594,872;7,502,253;118,200;1,670,039;996,385;	1,350
_h1roya	153	4,305	354	1	0				30	421,890;6,800,349;4,622,695;4,078,255;2,116,543;276,238;9,145,751;994,628;6,159,633;8,414,677;3,027,386;2,859,669;3,798,129;25,640,745;3,594,873;2,176,574;385,551;4,124,694;9,145,763;488,693;3,964,966;4,761,963;3,764,992;1,164,174;7,502,257;118,200;1,670,040;996,386;	761
_h1roya	153	4,305	354	1	0				30	2,859,671;3,798,128;25,640,761;3,594,876;2,176,573;385,551;4,124,693;9,145,773;488,693;3,964,962;4,761,971;3,764,991;1,164,177;7,502,260;118,201;1,670,041;996,388;	1,153
_h1roya	153	4,305	354	1	0				30	25,640,769;3,594,875;2,176,576;385,551;4,124,693;9,145,778;488,693;3,964,961;4,761,981;3,764,999;1,164,181;7,502,265;118,201;1,670,041;996,391;	1,155
_h1roya	153	4,305	354	1	1				30	4,761,988;3,765,007;1,164,181;7,502,266;118,201;1,670,042;996,391;	1,119
_h1roya	153	4,305	354	1	3				30	421,888;6,800,357;4,622,697;4,078,258;2,116,549;276,239;9,145,786;994,630;6,159,637;8,414,681;3,594,875;2,176,575;385,554;4,124,697;9,145,788;488,693;3,964,962;4,762,011;3,765,012;1,164,185;7,502,271;118,201;1,670,043;996,392;	693
_h1roya	153	4,305	354	1	18				30	421,889;4,622,697;4,078,260;2,116,551;276,239;9,145,796;994,631;6,159,637;8,414,682;3,027,389;2,859,677;3,798,138;25,640,800;3,594,862;2,176,579;385,556;4,124,700;9,145,798;488,693;3,964,963;4,762,026;3,765,027;1,164,190;7,502,274;118,201;1,670,049;996,393;	1,419
_h1roya	153	4,305	354	1	16				30	421,893;6,800,362;4,622,701;4,078,263;2,116,559;276,239;9,145,814;994,629;6,159,642;8,414,689;3,027,393;2,859,681;3,798,143;25,640,800;3,594,840;2,176,579;385,557;4,124,705;9,145,819;488,694;3,964,956;4,762,038;3,765,032;1,164,194;7,502,272;118,202;1,670,052;996,400;	1,509
_h1roya	153	4,305	354	1	6				30	421,893;6,800,365;4,622,706;4,078,266;2,116,564;276,240;9,145,830;994,629;6,159,644;8,414,695;3,027,392;2,859,684;3,798,145;25,640,813;3,594,824;2,176,584;385,557;4,124,711;9,145,831;488,694;3,964,959;4,762,043;3,765,038;1,164,196;7,502,283;118,202;1,670,053;996,402;	917
_h1roya	153	4,305	354	1	12				30	421,893;6,800,369;4,622,707;4,078,269;2,116,571;276,240;9,145,840;994,629;6,159,645;25,640,828;3,594,815;2,176,590;385,558;4,124,723;9,145,843;488,696;3,964,960;4,762,049;3,765,044;1,164,200;7,502,292;118,202;1,670,055;996,402;	1,292
_h1roya	153	4,305	354	1	21				30	421,894;6,800,376;4,622,707;4,078,275;2,116,574;276,240;9,145,853;994,628;6,159,648;8,414,697;3,027,396;2,859,692;3,798,150;25,640,842;3,594,802;2,176,590;385,558;4,124,732;9,145,857;488,698;3,964,961;4,762,061;3,765,056;1,164,202;7,502,305;118,202;1,670,057;996,402;	1,264
_h1roya	153	4,305	354	1	10				30	421,894;6,800,381;4,622,715;4,078,277;2,116,582;276,240;9,145,856;994,634;6,159,651;8,414,701;3,027,400;2,859,701;3,798,153;25,640,861;3,594,801;2,176,593;385,561;4,124,736;9,145,855;488,700;3,964,962;4,762,076;3,765,078;1,164,207;7,502,307;118,202;1,670,061;996,408;	1,075
_h1roya	153	4,305	354	1	8				30	421,893;6,800,383;4,622,716;4,078,282;2,116,585;276,241;9,145,860;994,634;6,159,652;8,414,703;3,027,402;2,859,709;3,798,160;25,640,880;3,594,807;2,176,596;385,560;4,124,737;9,145,865;488,702;3,964,965;4,762,094;3,765,086;1,164,211;7,502,312;118,204;1,670,065;996,413;	795
_h1roya	153	4,305	354	1	17				30	421,893;6,800,390;4,622,721;4,078,282;2,116,591;276,241;9,145,874;994,635;6,159,662;8,414,708;3,027,402;2,859,710;3,798,167;25,640,895;3,594,808;2,176,602;385,561;4,124,739;9,145,882;488,705;3,964,967;4,762,112;3,765,092;1,164,214;7,502,314;118,205;1,670,068;996,415;	1,392
_h1roya	153	4,305	354	1	0				30	421,894;6,800,395;4,622,724;4,078,287;2,116,598;276,242;9,145,888;994,637;6,159,670;8,414,711;3,027,403;2,859,711;3,798,166;25,640,898;3,594,804;2,176,606;385,562;4,124,743;9,145,894;488,707;3,964,968;4,762,127;3,765,112;1,164,218;7,502,327;118,207;1,670,071;996,418;	725
_h1roya	153	4,305	354	1	0				30	421,895;6,800,397;4,622,724;4,078,287;2,116,600;276,242;9,145,903;994,637;6,159,676;8,414,715;3,027,399;4,124,746;9,145,906;488,707;3,964,968;4,762,136;109,672;1,164,221;7,502,331;118,209;1,670,072;996,419;	819
_h1roya	153	4,305	354	1	11				30	421,895;6,800,404;4,622,727;4,078,288;2,116,604;25,640,923;3,594,802;2,176,607;385,562;4,124,748;9,145,920;488,707;3,964,967;4,762,142;109,672;1,164,224;7,502,336;118,209;1,670,074;996,419;	692
_h1roya	153	4,305	354	1	10				30	421,897;6,800,409;4,622,732;4,078,289;2,116,607;276,243;9,145,929;994,638;6,159,689;8,414,719;3,027,403;2,859,715;3,798,174;25,640,944;3,594,789;2,176,610;385,564;4,124,754;9,145,939;488,708;3,964,963;4,762,156;109,672;1,164,228;7,502,346;118,211;1,670,075;996,421;	1,772
folksouls	1,778	209k	4,504	1	14				27	479,624;10,701,110;6,673,693;3,612,174;15,575,969;1,299,162;6,576,452;18,280,545;30,032;6,256,830;13,403,165;13,456;7,767,103;209,772;471,564;74,520;258,087;660,901;488,714;105,932;158,113;94,250;688,587;8,414,737;86,235;16,176;	2,957
folksouls	1,778	209k	4,504	1	17				27	479,628;10,701,123;6,673,703;3,612,179;15,575,981;1,299,149;6,576,456;18,280,576;30,032;6,256,843;13,403,186;13,456;7,767,114;209,774;471,565;74,520;258,087;660,903;488,719;105,932;158,113;94,250;688,587;8,414,745;86,235;16,176;	6,729
folksouls	1,778	209k	4,504	0	15				27	479,628;6;10,701,141;6,673,711;3,612,182;15,576,002;1,299,132;6,576,462;18,280,609;30,032;6,256,854;13,403,198;13,456;7,767,116;209,776;471,567;74,520;258,087;660,902;488,720;105,932;158,113;94,250;688,587;8,414,749;86,235;16,176;	15,822
folksouls	1,778	209k	4,504	0	27				27	479,631;10,701,144;6,673,716;3,612,183;15,576,012;1,299,127;6,576,467;18,280,641;30,032;6,256,866;13,403,214;13,456;7,767,122;209,777;471,567;74,521;258,088;660,906;488,722;105,933;158,113;94,250;688,587;8,414,753;86,235;16,176;	5,774
folksouls	1,778	209k	4,504	0	19				27	479,632;10,701,149;6,673,724;3,612,186;15,576,023;1,299,127;6,576,473;18,280,675;30,032;6,256,885;13,403,225;13,456;7,767,129;209,778;471,568;74,521;258,088;660,907;488,721;105,932;158,113;94,250;688,591;8,414,757;86,235;16,176;	7,065
