user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
gettyentertainment	6,416	291k	913	1	2	1,604;3,565;	36.6k;9.4m;	256;492;	2	14,5615,966	1,049
gettyentertainment	6,416	291k	913	1	4	2,393;92;2,376;830;	2,421;177;75.1m;363;	898;716;1,080;525;	1	14,561	2,904
gettyentertainment	6,416	291k	913	1	11	571;140;1,802;98;84;98;84;862;1,813;866;23;	2,188;4,125;169k;1,083;775;1,083;775;665;1,157;534;151;	1,036;69;2,147;693;656;693;656;751;588;950;128;	1	14,561	4,339
gettyentertainment	6,416	291k	913	1	2	445;140;	13.2k;4,125;	1,080;69;	1	14,561	1,764
gettyentertainment	6,416	291k	913	0	14	90;701;229;1,705;530;51;141;83;195;215;101;2,565;1,151;3,524;	167;543;2,359;967k;1,005;423;211;237;433;548;668;751;300;996;	380;588;491;1;422;396;402;526;376;409;473;1,215;478;1,495;	1	14,561	7,971
petesouza	962	1.9m	326	1	13	0;962;991;35;10;1,859;0;0;54;610;599;282;962;	0;1.9m;501;19;334;184;0;0;671;253;169;388;1.9m;	374;326;223;17;423;390;374;374;1,054;405;289;1,741;326;	0		55,877
petesouza	962	1.9m	326	1	12	766;124;325;1,042;16;124;54;192;1,107;766;222;44;	129k;6,131;159;823;198;169;113;262;7,659;129k;303;131;	140;252;260;588;366;574;375;442;888;140;288;298;	0		9,303
petesouza	962	1.9m	326	1	9	766;886;63;962;183;325;246;1,107;140;	129k;186;1,047;1.9m;303;159;505;7,659;2,785;	140;440;811;326;509;260;1,522;888;1,117;	0		7,612
petesouza	962	1.9m	326	0	4	92;277;36;82;	121;880;953;1,280;	167;796;733;1,084;	0		164,123
petesouza	962	1.9m	326	0	11	92;92;4;156;60;970;445;445;54;962;58;	297;26;99;153;135;384;423;423;52;1.9m;216;	741;32;195;199;135;446;1,862;1,862;203;326;422;	1	39,431	162,043
